#ZVView-data-copy:   2-Dec-2019 09:34:42
#=======================================
#
#name:   50-SN-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  34401
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     0.0081337            0       4.9768      0.29965  # 1998,J.A.Harvey          ## 14194002  #dY:6.0%
     0.0081458            0       4.5325      0.46856  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
     0.0081528            0       4.2963      0.91488  # 1998,J.A.Harvey          ## 14194002  #dY:21.3%
     0.0081549            0       2.9569       0.7878  # 1998,J.A.Harvey          ## 14194002  #dY:26.6%
     0.0081569            0       4.3653      0.76019  # 1998,J.A.Harvey          ## 14194002  #dY:17.4%
     0.0081589            0       3.9742      0.76753  # 1998,J.A.Harvey          ## 14194002  #dY:19.3%
     0.0081609            0       5.9959      0.84409  # 1998,J.A.Harvey          ## 14194002  #dY:14.1%
      0.008163            0       4.6089      0.88198  # 1998,J.A.Harvey          ## 14194002  #dY:19.1%
      0.008165            0        6.449      0.81515  # 1998,J.A.Harvey          ## 14194002  #dY:12.6%
      0.008167            0       9.6734      0.79314  # 1998,J.A.Harvey          ## 14194002  #dY:8.2%
      0.008169            0       13.001      0.96688  # 1998,J.A.Harvey          ## 14194002  #dY:7.4%
     0.0081711            0       29.671       1.8287  # 1998,J.A.Harvey          ## 14194002  #dY:6.2%
     0.0081731            0       29.378       1.6607  # 1998,J.A.Harvey          ## 14194002  #dY:5.7%
     0.0081751            0        22.92        1.239  # 1998,J.A.Harvey          ## 14194002  #dY:5.4%
     0.0081771            0       12.798      0.81527  # 1998,J.A.Harvey          ## 14194002  #dY:6.4%
     0.0081792            0        6.178      0.73944  # 1998,J.A.Harvey          ## 14194002  #dY:12.0%
     0.0081812            0       5.6315      0.68174  # 1998,J.A.Harvey          ## 14194002  #dY:12.1%
     0.0081832            0       5.2584       0.6311  # 1998,J.A.Harvey          ## 14194002  #dY:12.0%
     0.0081853            0       5.9319      0.60957  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
     0.0081873            0       4.8699      0.60628  # 1998,J.A.Harvey          ## 14194002  #dY:12.4%
     0.0081924            0       5.1064      0.29613  # 1998,J.A.Harvey          ## 14194002  #dY:5.8%
     0.0082006            0       4.7125       0.2825  # 1998,J.A.Harvey          ## 14194002  #dY:6.0%
     0.0082057            0       4.3218      0.47812  # 1998,J.A.Harvey          ## 14194002  #dY:11.1%
     0.0082077            0       3.8458      0.45332  # 1998,J.A.Harvey          ## 14194002  #dY:11.8%
     0.0082097            0       4.9376      0.48552  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
     0.0082118            0       4.4525      0.72571  # 1998,J.A.Harvey          ## 14194002  #dY:16.3%
     0.0082138            0       5.8501       1.7398  # 1998,J.A.Harvey          ## 14194002  #dY:29.7%
     0.0082159            0       4.8638       1.3422  # 1998,J.A.Harvey          ## 14194002  #dY:27.6%
     0.0082179            0       5.6436      0.81007  # 1998,J.A.Harvey          ## 14194002  #dY:14.4%
       0.00822            0       4.5989      0.62528  # 1998,J.A.Harvey          ## 14194002  #dY:13.6%
      0.008222            0       5.0641      0.65006  # 1998,J.A.Harvey          ## 14194002  #dY:12.8%
     0.0082241            0       8.4324       1.3949  # 1998,J.A.Harvey          ## 14194002  #dY:16.5%
     0.0082261            0       13.974       2.3768  # 1998,J.A.Harvey          ## 14194002  #dY:17.0%
     0.0082282            0       6.1665       1.1501  # 1998,J.A.Harvey          ## 14194002  #dY:18.7%
     0.0082302            0       4.7338      0.86041  # 1998,J.A.Harvey          ## 14194002  #dY:18.2%
     0.0082323            0       5.0643       1.1099  # 1998,J.A.Harvey          ## 14194002  #dY:21.9%
     0.0082343            0       4.7028       2.8871  # 1998,J.A.Harvey          ## 14194002  #dY:61.4%
     0.0082364            0      -8.3346       3.4579  # 1998,J.A.Harvey          ## 14194002  #dY:41.5%
     0.0082384            0       8.5868       1.6344  # 1998,J.A.Harvey          ## 14194002  #dY:19.0%
     0.0082405            0       2.0121       1.0741  # 1998,J.A.Harvey          ## 14194002  #dY:53.4%
     0.0082425            0        3.905      0.95282  # 1998,J.A.Harvey          ## 14194002  #dY:24.4%
     0.0082446            0       5.7256      0.94864  # 1998,J.A.Harvey          ## 14194002  #dY:16.6%
     0.0082466            0       7.0608      0.88268  # 1998,J.A.Harvey          ## 14194002  #dY:12.5%
     0.0082487            0       11.606      0.95911  # 1998,J.A.Harvey          ## 14194002  #dY:8.3%
     0.0082507            0       18.548       1.1342  # 1998,J.A.Harvey          ## 14194002  #dY:6.1%
     0.0082528            0       17.178       1.0493  # 1998,J.A.Harvey          ## 14194002  #dY:6.1%
     0.0082549            0       9.6664       0.7923  # 1998,J.A.Harvey          ## 14194002  #dY:8.2%
     0.0082569            0       5.3901      0.69019  # 1998,J.A.Harvey          ## 14194002  #dY:12.8%
      0.008259            0        5.574      0.63602  # 1998,J.A.Harvey          ## 14194002  #dY:11.4%
      0.008261            0        5.212      0.60915  # 1998,J.A.Harvey          ## 14194002  #dY:11.7%
     0.0082631            0       5.7583       0.5826  # 1998,J.A.Harvey          ## 14194002  #dY:10.1%
     0.0082652            0       5.5554      0.54275  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
     0.0082672            0       4.3716      0.52064  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
     0.0082693            0       3.7903      0.66018  # 1998,J.A.Harvey          ## 14194002  #dY:17.4%
     0.0082714            0     -0.37307       1.7221  # 1998,J.A.Harvey          ## 14194002  #dY:461.6%
     0.0082734            0       18.191       3.8192  # 1998,J.A.Harvey          ## 14194002  #dY:21.0%
     0.0082755            0       3.2515       1.9218  # 1998,J.A.Harvey          ## 14194002  #dY:59.1%
     0.0082776            0       6.3955        1.276  # 1998,J.A.Harvey          ## 14194002  #dY:20.0%
     0.0082796            0       7.0042       1.0254  # 1998,J.A.Harvey          ## 14194002  #dY:14.6%
     0.0082817            0       5.8562      0.87392  # 1998,J.A.Harvey          ## 14194002  #dY:14.9%
     0.0082838            0       5.0664      0.86277  # 1998,J.A.Harvey          ## 14194002  #dY:17.0%
     0.0082858            0       7.5131      0.82955  # 1998,J.A.Harvey          ## 14194002  #dY:11.0%
     0.0082879            0       5.8617      0.80403  # 1998,J.A.Harvey          ## 14194002  #dY:13.7%
