#ZVView-data-copy:   3-Dec-2019 15:17:20
#=======================================
#
#name:   92-U-238(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  108574
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.28e-9            0         10.2            0  # 1982,M.Adib+             ## 30636003
       2.35e-9            0           10            0  # 1982,M.Adib+             ## 30636003
       2.43e-9            0          9.8            0  # 1982,M.Adib+             ## 30636003
       2.51e-9            0          9.7            0  # 1982,M.Adib+             ## 30636003
        2.6e-9            0          9.6            0  # 1982,M.Adib+             ## 30636003
       2.69e-9            0          9.3            0  # 1982,M.Adib+             ## 30636003
       2.78e-9            0          9.6            0  # 1982,M.Adib+             ## 30636003
       2.88e-9            0          9.2            0  # 1982,M.Adib+             ## 30636003
       2.99e-9            0          9.2            0  # 1982,M.Adib+             ## 30636003
       3.04e-9            0          9.4            0  # 1982,M.Adib+             ## 30636003
        3.1e-9            0          9.4            0  # 1982,M.Adib+             ## 30636003
       3.16e-9            0          9.2            0  # 1982,M.Adib+             ## 30636003
       3.21e-9            0          9.2            0  # 1982,M.Adib+             ## 30636003
       3.28e-9            0          9.9            0  # 1982,M.Adib+             ## 30636003
       3.34e-9            0         10.1            0  # 1982,M.Adib+             ## 30636003
       3.45e-9            0         10.4            0  # 1982,M.Adib+             ## 30636003
       3.54e-9            0         11.1            0  # 1982,M.Adib+             ## 30636003
       3.61e-9            0           12            0  # 1982,M.Adib+             ## 30636003
       3.68e-9            0         12.7            0  # 1982,M.Adib+             ## 30636003
       3.76e-9            0           13            0  # 1982,M.Adib+             ## 30636003
       3.83e-9            0         13.5            0  # 1982,M.Adib+             ## 30636003
       3.91e-9            0           14            0  # 1982,M.Adib+             ## 30636003
       3.99e-9            0         14.2            0  # 1982,M.Adib+             ## 30636003
       4.08e-9            0        14.28            0  # 1982,M.Adib+             ## 30636003
       4.17e-9            0           14            0  # 1982,M.Adib+             ## 30636003
       4.26e-9            0         13.7            0  # 1982,M.Adib+             ## 30636003
        4.5e-9            0         13.3            0  # 1982,M.Adib+             ## 30636003
        4.6e-9            0        13.05            0  # 1982,M.Adib+             ## 30636003
       4.75e-9            0         12.6            0  # 1982,M.Adib+             ## 30636003
       4.86e-9            0        12.05            0  # 1982,M.Adib+             ## 30636003
       4.98e-9            0         11.8            0  # 1982,M.Adib+             ## 30636003
        5.1e-9            0         11.7            0  # 1982,M.Adib+             ## 30636003
       5.22e-9            0         11.6            0  # 1982,M.Adib+             ## 30636003
       5.34e-9            0         11.3            0  # 1982,M.Adib+             ## 30636003
       5.48e-9            0           11            0  # 1982,M.Adib+             ## 30636003
       5.61e-9            0         10.7            0  # 1982,M.Adib+             ## 30636003
       5.75e-9            0         11.3            0  # 1982,M.Adib+             ## 30636003
        5.9e-9            0        11.73            0  # 1982,M.Adib+             ## 30636003
