EN         DATA       DATA-ERR                                    10817020   26
MEV        B          PER-CENT                                    10817020   27
  5.049     4.07       1.0                                        10817020   28
  5.252     4.01       1.0                                        10817020   29
  5.457     4.02       1.0                                        10817020   30
  5.864     4.12       1.0                                        10817020   31
  6.068     4.08       1.0                                        10817020   32
  6.170     4.17       1.0                                        10817020   33
  6.474     4.14       1.0                                        10817020   34
  6.775     4.09       1.0                                        10817020   35
  6.878     4.13       1.0                                        10817020   36
  7.080     4.03       1.0                                        10817020   37
  7.285     4.16       1.0                                        10817020   38
  7.488     4.18       1.2                                        10817020   39
  7.680     4.44       1.1                                        10817020   40
  7.917     4.36       1.2                                        10817020   41
  8.130     4.27       1.2                                        10817020   42
 20.00      3.92       2.0                                        10817020   43
 21.00      3.95       2.0                                        10817020   44
 22.00      3.85       2.0                                        10817020   45
 23.00      3.72       2.0                                        10817020   46
 24.00      3.51       2.0                                        10817020   47
 26.00      3.54       2.0                                        10817020   48
