EN          DATA        ERR-S       
MEV         B           B           
5.2930e+00  7.4950e+00  2.2700e-02  
5.3460e+00  7.4890e+00  2.3490e-02  
5.3990e+00  7.4720e+00  2.4350e-02  
5.4540e+00  7.4490e+00  2.2410e-02  
5.5090e+00  7.3990e+00  2.1850e-02  
5.5640e+00  7.3840e+00  2.1720e-02  
5.6200e+00  7.3850e+00  2.1690e-02  
5.6760e+00  7.3190e+00  2.1150e-02  
5.7330e+00  7.2940e+00  2.0740e-02  
5.7910e+00  7.2780e+00  2.0500e-02  
5.8490e+00  7.2410e+00  2.0280e-02  
5.9080e+00  7.2150e+00  2.0230e-02  
5.9670e+00  7.1680e+00  2.0010e-02  
6.0270e+00  7.1240e+00  1.9710e-02  
6.0880e+00  7.0970e+00  1.9640e-02  
6.1490e+00  7.0900e+00  1.9770e-02  
6.2110e+00  7.0650e+00  2.0570e-02  
6.2730e+00  7.0470e+00  2.2590e-02  
6.3360e+00  7.0110e+00  2.2510e-02  
6.4000e+00  6.9320e+00  1.9250e-02  
6.4640e+00  6.9090e+00  1.8200e-02  
6.5290e+00  6.8860e+00  1.7630e-02  
6.5950e+00  6.8520e+00  1.6870e-02  
6.6610e+00  6.8250e+00  1.6740e-02  
6.7280e+00  6.7780e+00  1.6550e-02  
6.7960e+00  6.7630e+00  1.6430e-02  
6.8640e+00  6.7380e+00  1.6190e-02  
6.9330e+00  6.7170e+00  1.5950e-02  
7.0030e+00  6.6950e+00  1.5870e-02  
7.0730e+00  6.6590e+00  1.5820e-02  
7.1440e+00  6.6140e+00  1.5880e-02  
7.2160e+00  6.5940e+00  1.6480e-02  
7.2890e+00  6.5690e+00  1.7820e-02  
7.3620e+00  6.5560e+00  1.9730e-02  
7.4360e+00  6.5030e+00  2.0050e-02  
7.5100e+00  6.4600e+00  1.9580e-02  
7.5860e+00  6.4500e+00  1.9310e-02  
7.6620e+00  6.4420e+00  1.9870e-02  
7.7390e+00  6.4220e+00  2.1280e-02  
7.8170e+00  6.3760e+00  2.1230e-02  
7.8960e+00  6.3520e+00  2.0400e-02  
7.9750e+00  6.3320e+00  1.9770e-02  
8.0550e+00  6.3130e+00  1.9460e-02  
8.1360e+00  6.2910e+00  1.8900e-02  
8.2180e+00  6.2500e+00  1.7500e-02  
8.3000e+00  6.2190e+00  1.6540e-02  
8.3840e+00  6.2040e+00  1.6080e-02  
8.4680e+00  6.1680e+00  1.5740e-02  
8.5530e+00  6.1680e+00  1.5680e-02  
