EN          EN-RSL-FW   DATA        ERR-T       MISC1       MISC2       
MEV         MEV         B           B           B           B           
2.254       .051        7.8181      .2510       .1152       .0119       
2.265       .051        6.9123      .2021       .0981       .0149       
2.276       .051        7.0972      .1963       .1314       -.0122      
2.287       .052        7.5929      .2416       .0795       -.0070      
2.299       .052        7.0013      .1804       .0892       -.0193      
2.311       .052        7.4448      .2135       .0804       -.0124      
2.323       .053        7.1629      .1871       .0902       -.0038      
2.334       .053        7.2980      .1969       .1036       -.0180      
2.346       .053        7.6802      .2203       .0851       -.0135      
2.358       .054        7.4422      .2091       .0870       -.0135      
2.370       .054        7.1778      .1963       .0803       -.0165      
2.382       .054        7.3895      .1918       .0741       -.0168      
2.395       .054        7.5256      .1854       .0770       -.0150      
2.408       .055        7.4470      .1861       .0874       .0009       
2.420       .056        7.3605      .1842       .0812       -.0146      
2.432       .056        7.3697      .1886       .0701       -.0159      
2.445       .056        7.3124      .1781       .0704       -.0168      
2.458       .057        7.4471      .1784       .0732       -.0161      
2.471       .057        7.4885      .1854       .0651       -.0163      
2.484       .057        7.4865      .1776       .0646       -.0143      
2.497       .057        7.4493      .1667       .0679       -.0161      
2.510       .058        7.6896      .1775       .0734       -.0153      
2.524       .058        7.8928      .1856       .0765       -.0134      
2.536       .059        7.8234      .1964       .0614       -.0161      
2.549       .059        7.3346      .1677       .0533       -.0169      
2.564       .059        7.5854      .1648       .0621       -.0133      
2.578       .059        7.4279      .1632       .0747       -.0157      
2.592       .060        7.9205      .2004       .0601       -.0152      
2.606       .060        7.6427      .1635       .0678       -.0107      
2.621       .061        7.7593      .1579       .0775       -.0107      
2.635       .061        7.8671      .1686       .0717       -.0118      
2.649       .061        7.9314      .1624       .0634       -.0136      
2.663       .062        7.9745      .1720       .0643       -.0077      
2.677       .062        7.6865      .1573       .0580       -.0118      
2.690       .063        7.8371      .1690       .0615       -.0103      
2.705       .063        7.7362      .1616       .0648       -.0072      
2.719       .063        7.5547      .1411       .0649       -.0077      
2.734       .064        7.6800      .1569       .0679       .0037       
2.749       .064        7.5860      .1402       .0620       -.0102      
2.764       .065        7.5751      .1390       .0632       -.0089      
2.779       .065        7.9378      .1515       .0630       -.0066      
2.795       .066        7.3930      .1289       .0632       -.0055      
2.810       .066        7.5117      .1357       .0599       -.0085      
2.826       .067        7.5989      .1336       .0607       -.0077      
2.842       .067        7.6051      .1316       .0598       -.0072      
2.858       .067        7.7605      .1361       .0661       -.0072      
2.874       .067        7.9242      .1423       .0582       -.0093      
2.890       .068        7.6404      .1267       .0607       -.0085      
2.907       .069        7.8955      .1369       .0640       .0031       
2.925       .069        7.9464      .1327       .0617       -.0107      
2.942       .071        7.8002      .1262       .0610       -.0085      
2.959       .071        8.0274      .1341       .0597       -.0058      
2.976       .071        7.9317      .1333       .0640       .0060       
2.992       .071        7.9251      .1306       .0658       .0028       
3.009       .073        8.0049      .1293       .0610       .0037       
3.026       .072        7.7923      .1206       .0550       -.0075      
3.044       .073        7.9311      .1267       .0599       -.0065      
3.063       .073        7.9797      .1252       .0592       -.0078      
3.081       .074        7.7547      .1181       .0556       -.0085      
3.099       .075        7.8006      .1139       .0541       -.0081      
3.118       .075        7.7971      .1188       .0577       -.0033      
3.137       .076        7.7809      .1153       .0554       -.0051      
3.156       .076        7.9060      .1141       .0608       -.0036      
3.174       .077        7.8357      .1102       .0555       -.0085      
3.194       .078        7.9091      .1181       .0570       -.0077      
3.214       .078        7.8794      .1187       .0522       -.0065      
3.234       .079        7.6473      .1156       .0566       -.0070      
3.253       .079        7.7030      .1146       .0581       -.0062      
3.271       .079        7.8778      .1163       .0573       -.0061      
3.291       .080        7.8645      .1091       .0553       -.0064      
3.310       .081        7.6879      .1041       .0545       .0043       
3.330       .081        7.7570      .0987       .0547       -.0004      
3.350       .083        7.7127      .0998       .0548       .0055       
3.371       .083        7.7011      .0999       .0563       .0022       
3.393       .084        7.8450      .1018       .0527       -.0037      
3.414       .084        7.7993      .1023       .0565       .0027       
3.436       .085        7.9743      .1049       .0554       .0062       
3.457       .086        7.8269      .1012       .0564       .0021       
3.478       .086        7.7955      .1011       .0556       .0023       
3.500       .087        7.8244      .0965       .0519       .0027       
3.522       .088        7.8001      .0973       .0558       -.0043      
3.545       .089        8.0907      .1044       .0557       .0025       
3.567       .090        8.1115      .1056       .0566       .0022       
3.589       .090        7.9562      .1044       .0527       -.0050      
3.610       .091        8.1347      .1032       .0523       -.0049      
3.633       .092        7.9835      .1054       .0467       -.0062      
3.657       .092        7.7927      .0974       .0476       -.0086      
3.682       .093        8.0248      .1001       .0474       -.0043      
3.707       .093        7.8482      .0968       .0512       -.0053      
3.731       .094        7.7537      .0952       .0457       -.0038      
3.755       .095        7.7448      .0913       .0517       -.0043      
3.779       .096        8.0021      .0942       .0469       -.0041      
3.804       .097        7.9057      .0924       .0496       -.0048      
3.828       .098        8.2118      .0990       .0506       -.0025      
3.854       .099        8.1342      .0994       .0514       -.0044      
3.879       .100        8.0787      .0966       .0466       -.0025      
3.904       .101        7.9854      .0898       .0465       -.0051      
3.931       .101        7.9905      .0888       .0438       -.0042      
3.958       .102        7.8159      .0857       .0473       -.0042      
3.985       .104        7.8644      .0877       .0456       .0023       
4.012       .104        7.8076      .0840       .0451       -.0018      
4.039       .105        7.7980      .0874       .0489       .0011       
4.066       .106        7.9504      .0885       .0471       -.0051      
4.093       .107        7.9453      .0870       .0448       -.0029      
4.121       .107        7.9108      .0867       .0463       -.0062      
4.149       .108        7.8929      .0884       .0441       .0022       
4.179       .109        7.7607      .0823       .0449       -.0054      
4.208       .110        7.8605      .0830       .0437       -.0041      
4.238       .111        7.8724      .0823       .0454       -.0038      
4.266       .112        7.9465      .0870       .0489       .0033       
4.294       .113        7.9785      .0865       .0457       .0006       
4.324       .115        7.8539      .0847       .0476       -.0023      
4.354       .116        7.9251      .0861       .0432       -.0028      
4.384       .117        7.7586      .0836       .0443       -.0031      
4.414       .117        7.8163      .0855       .0430       -.0055      
4.445       .119        7.8615      .0833       .0390       -.0052      
4.477       .120        7.6260      .0805       .0421       -.0057      
4.509       .121        7.7196      .0854       .0417       -.0058      
4.541       .122        7.7377      .0851       .0405       -.0081      
4.575       .124        7.7869      .0900       .0393       -.0077      
4.610       .125        7.7132      .0849       .0405       -.0061      
4.644       .125        7.5119      .0850       .0430       -.0085      
4.678       .127        7.8004      .0912       .0408       -.0068      
4.712       .128        7.6103      .0859       .0427       -.0078      
4.744       .129        7.6937      .0893       .0379       -.0095      
4.778       .130        7.7049      .0918       .0346       -.0114      
4.813       .131        7.8515      .0995       .0336       -.0112      
4.849       .133        7.8433      .1036       .0352       -.0103      
4.886       .135        7.6965      .0955       .0399       -.0096      
4.922       .135        7.7794      .0954       .0406       -.0093      
4.956       .137        7.7743      .1046       .0341       -.0114      
4.994       .137        7.4669      .0939       .0335       -.0131      
5.032       .140        7.5213      .1025       .0327       -.0138      
5.070       .141        7.3747      .0987       .0341       -.0129      
5.109       .143        7.6109      .1049       .0369       -.0111      
5.151       .144        7.4050      .0998       .0413       -.0102      
5.193       .145        7.3450      .0979       .0458       -.0091      
5.235       .147        7.4570      .0972       .0436       -.0072      
5.277       .149        7.3709      .0901       .0468       -.0082      
5.318       .150        7.3852      .0929       .0488       -.0067      
5.359       .151        7.5631      .0963       .0508       .0012       
5.401       .153        7.5362      .0977       .0531       -.0049      
5.442       .155        7.4262      .0993       .0496       -.0092      
5.486       .156        7.4724      .0937       .0468       -.0049      
5.531       .158        7.4139      .0933       .0503       .0020       
5.576       .159        7.2205      .0951       .0533       -.0048      
5.621       .162        7.2583      .0949       .0503       -.0047      
5.666       .163        7.1220      .0919       .0477       -.0036      
5.713       .165        7.1676      .0952       .0505       -.0065      
5.759       .167        7.2090      .0962       .0507       -.0040      
5.805       .168        7.1498      .0973       .0503       -.0050      
5.854       .171        7.2174      .1008       .0551       .0018       
5.899       .172        7.0922      .0954       .0476       -.0074      
5.947       .175        6.9480      .0924       .0496       -.0055      
5.997       .177        7.2444      .0993       .0567       .0033       
6.045       .178        7.2126      .1018       .0531       -.0035      
6.096       .180        7.1889      .0992       .0511       -.0042      
6.148       .182        7.1091      .0958       .0503       .0030       
6.201       .185        6.9591      .0984       .0563       .0031       
6.253       .187        7.0717      .0986       .0566       .0062       
6.304       .189        7.0879      .0989       .0568       .0039       
6.356       .191        6.9536      .0997       .0560       -.0048      
6.409       .194        6.9186      .1017       .0534       -.0076      
6.463       .196        6.9328      .1006       .0509       -.0057      
6.520       .198        6.9050      .1040       .0566       -.0061      
6.580       .201        7.0022      .1030       .0523       -.0016      
6.637       .201        6.7952      .0967       .0540       -.0059      
6.697       .205        6.8295      .1007       .0547       .0020       
6.757       .208        6.7885      .1014       .0592       -.0042      
6.815       .211        6.8392      .1072       .0547       -.0045      
6.875       .212        6.7220      .0996       .0510       -.0062      
6.935       .215        6.4895      .0995       .0531       -.0074      
6.995       .217        6.5626      .1049       .0552       -.0088      
7.056       .220        6.4485      .1102       .0501       -.0098      
7.121       .224        6.5098      .1031       .0546       -.0077      
7.185       .226        6.4980      .1028       .0501       -.0073      
7.248       .228        6.4052      .1000       .0528       -.0094      
7.313       .231        6.5905      .1093       .0497       -.0100      
7.378       .233        6.3405      .1054       .0504       -.0128      
7.443       .236        6.3796      .1120       .0483       -.0124      
7.512       .239        6.4920      .1102       .0470       -.0130      
7.585       .242        6.5116      .1124       .0468       -.0131      
7.657       .246        6.2542      .1099       .0491       -.0140      
7.729       .250        6.4833      .1140       .0480       -.0126      
7.801       .254        6.3939      .1139       .0469       -.0129      
7.874       .254        6.1310      .1073       .0465       -.0139      
7.950       .258        6.2555      .1196       .0474       -.0120      
8.025       .259        6.1302      .1124       .0459       -.0153      
8.102       .264        6.0334      .1086       .0443       -.0163      
8.180       .267        6.3098      .1219       .0444       -.0150      
8.261       .275        6.1856      .1176       .0427       -.0148      
8.342       .280        6.0711      .1180       .0452       -.0128      
8.423       .280        5.9914      .1069       .0467       -.0132      
8.505       .284        6.0760      .1070       .0463       -.0128      
8.588       .286        6.2005      .1081       .0449       -.0135      
8.674       .289        6.0761      .1055       .0432       -.0142      
8.762       .293        6.2211      .1115       .0440       -.0147      
8.851       .297        6.0818      .1123       .0460       -.0132      
8.941       .304        6.2410      .1087       .0394       -.0141      
9.035       .311        6.0272      .1056       .0420       -.0132      
9.128       .314        5.9145      .1007       .0422       -.0139      
9.224       .320        5.9563      .1022       .0414       -.0136      
9.323       .324        5.9818      .1030       .0417       -.0118      
9.417       .325        5.9634      .1008       .0418       -.0123      
9.513       .329        6.0668      .1025       .0432       -.0114      
9.612       .332        6.0064      .1001       .0397       -.0126      
9.713       .337        5.7795      .0916       .0375       -.0125      
9.819       .344        5.7954      .0902       .0345       -.0131      
9.930       .352        5.8712      .0878       .0368       -.0110      
10.037      .358        5.9466      .0862       .0379       -.0098      
10.145      .365        5.8205      .0893       .0353       -.0123      
10.257      .366        5.8866      .0853       .0321       -.0110      
10.370      .373        5.9488      .0838       .0308       -.0099      
10.487      .380        5.8268      .0766       .0337       -.0080      
10.600      .387        5.8957      .0717       .0337       -.0075      
10.713      .393        5.9113      .0693       .0315       -.0076      
10.830      .399        5.9297      .0702       .0277       -.0086      
10.952      .400        5.7376      .0650       .0271       -.0082      
11.078      .407        5.6839      .0618       .0266       -.0076      
11.210      .414        5.7552      .0590       .0254       -.0075      
11.342      .420        5.8972      .0559       .0226       -.0073      
11.475      .428        5.7747      .0540       .0196       -.0070      
11.617      .443        5.7291      .0488       .0203       -.0058      
11.761      .450        5.7399      .0446       .0203       -.0045      
11.897      .456        5.8005      .0419       .0199       -.0038      
12.032      .464        5.7841      .0399       .0191       -.0041      
12.172      .470        5.7737      .0383       .0177       -.0045      
12.315      .478        5.7982      .0374       .0163       -.0046      
12.462      .485        5.7983      .0358       .0161       -.0044      
12.611      .493        5.7082      .0348       .0161       -.0046      
12.765      .501        5.7947      .0344       .0162       -.0048      
12.927      .508        5.8273      .0352       .0170       -.0049      
13.089      .515        5.7790      .0371       .0184       -.0056      
13.250      .523        5.8046      .0418       .0184       -.0072      
13.414      .530        5.7566      .0459       .0194       -.0085      
13.581      .540        5.7836      .0512       .0206       -.0094      
13.762      .548        5.7750      .0570       .0253       -.0095      
13.948      .561        5.8165      .0618       .0282       -.0089      
14.130      .577        5.7790      .0646       .0299       -.0073      
14.317      .593        5.7127      .0607       .0297       -.0038      
14.510      .606        5.9409      .0561       .0289       .0108       
14.702      .616        5.8280      .0525       .0536       .0105       
14.713      .560        5.7098      .1519       .0300       -.0146      
14.910      .571        5.7446      .1373       .0291       -.0146      
