EN          EN-ERR      EN-RSL      DATA        ERR-T       ERR-S       
MEV         MEV         MEV         B           B           B           
4.8000e-02  8.0220e-03  6.0000e-03  1.3300e+01  2.5000e-01  1.7900e-01  
6.3000e-02  8.0500e-03  9.0000e-03  1.2850e+01  2.2820e-01  1.7200e-01  
7.8000e-02  8.0220e-03  6.0000e-03  1.2420e+01  2.1600e-01  1.7000e-01  
9.2000e-02  8.0400e-03  8.0000e-03  1.2390e+01  2.0980e-01  1.6900e-01  
1.1100e-01  8.0620e-03  1.0000e-02  1.1920e+01  2.0190e-01  1.6800e-01  
1.3700e-01  8.1220e-03  1.4000e-02  1.1640e+01  1.9540e-01  1.6700e-01  
1.7200e-01  8.2460e-03  2.0000e-02  1.1210e+01  1.9010e-01  1.6700e-01  
1.9500e-01  8.4760e-03  2.8000e-02  1.0810e+01  9.6930e-02  6.0000e-02  
2.2300e-01  8.5090e-03  2.9000e-02  1.0520e+01  1.8500e-01  1.6700e-01  
2.4400e-01  8.4430e-03  2.7000e-02  1.0310e+01  9.7680e-02  7.0000e-02  
2.9700e-01  8.4430e-03  2.7000e-02  9.8420e+00  8.6280e-02  6.1000e-02  
3.5000e-01  8.4760e-03  2.8000e-02  9.4660e+00  8.6820e-02  6.6000e-02  
4.0100e-01  8.4430e-03  2.7000e-02  9.0900e+00  8.1070e-02  6.2000e-02  
4.5800e-01  8.4430e-03  2.7000e-02  8.6800e+00  6.3500e-02  4.2000e-02  
5.1000e-01  8.6930e-03  3.4000e-02  8.4860e+00  5.4200e-02  3.0000e-02  
5.6800e-01  8.6540e-03  3.3000e-02  8.2020e+00  8.5410e-02  7.3000e-02  
6.1000e-01  8.6930e-03  3.4000e-02  8.0870e+00  5.3060e-02  3.3000e-02  
6.7000e-01  8.6160e-03  3.2000e-02  7.8680e+00  1.0320e-01  9.4000e-02  
7.1500e-01  8.5800e-03  3.1000e-02  7.7450e+00  6.1120e-02  4.7000e-02  
7.7300e-01  8.6160e-03  3.2000e-02  7.5080e+00  8.8050e-02  7.9000e-02  
8.2100e-01  8.6540e-03  3.3000e-02  7.3820e+00  5.4720e-02  4.1000e-02  
9.2400e-01  8.6930e-03  3.4000e-02  7.2490e+00  5.7060e-02  4.5000e-02  
1.0230e+00  8.5440e-03  3.0000e-02  7.1700e+00  4.5880e-02  3.1000e-02  
1.1280e+00  8.5090e-03  2.9000e-02  7.1180e+00  5.4480e-02  4.3000e-02  
1.2300e+00  8.4760e-03  2.8000e-02  6.9850e+00  5.8890e-02  4.9000e-02  
1.3330e+00  8.4430e-03  2.7000e-02  6.9750e+00  8.2080e-02  7.5000e-02  
1.5330e+00  8.2460e-03  2.0000e-02  7.0920e+00  4.2380e-02  2.8000e-02  
1.6310e+00  8.1790e-03  1.7000e-02  7.0970e+00  5.6060e-02  4.6000e-02  
1.7340e+00  8.2230e-03  1.9000e-02  7.1460e+00  1.1050e-01  1.0500e-01  
1.8250e+00  8.1580e-03  1.6000e-02  7.2340e+00  5.7880e-02  4.8000e-02  
1.9310e+00  8.2230e-03  1.9000e-02  7.2990e+00  4.6060e-02  3.3000e-02  
2.0250e+00  8.1390e-03  1.5000e-02  7.3380e+00  5.8800e-02  4.9000e-02  
2.1340e+00  1.0500e-02  6.8000e-02  7.3490e+00  5.2960e-02  4.2000e-02  
2.2790e+00  9.3810e-03  4.9000e-02  7.4080e+00  5.3820e-02  4.3000e-02  
2.4290e+00  1.1240e-02  7.9000e-02  7.6200e+00  5.4270e-02  4.3000e-02  
2.5740e+00  9.8810e-03  5.8000e-02  7.6680e+00  6.1790e-02  5.2000e-02  
2.7910e+00  9.0350e-03  4.2000e-02  7.7300e+00  5.9290e-02  4.9000e-02  
2.9940e+00  9.3810e-03  4.9000e-02  7.8150e+00  5.8570e-02  4.8000e-02  
3.1880e+00  9.2780e-03  4.7000e-02  7.9260e+00  6.0430e-02  5.0000e-02  
3.3870e+00  9.2280e-03  4.6000e-02  7.9510e+00  6.0430e-02  5.0000e-02  
3.5850e+00  9.1300e-03  4.4000e-02  7.9730e+00  6.2950e-02  5.3000e-02  
3.7810e+00  8.9890e-03  4.1000e-02  8.0140e+00  6.6440e-02  5.7000e-02  
3.9740e+00  8.9000e-03  3.9000e-02  8.0390e+00  6.8190e-02  5.9000e-02  
4.1850e+00  8.7730e-03  3.6000e-02  8.0650e+00  7.4410e-02  6.6000e-02  
4.3890e+00  8.6930e-03  3.4000e-02  8.0390e+00  8.3420e-02  7.6000e-02  
4.5980e+00  8.2970e-03  2.2000e-02  7.9700e+00  9.7300e-02  9.1000e-02  
4.8070e+00  8.2970e-03  2.2000e-02  7.7350e+00  8.3790e-02  7.7000e-02  
