      E       f(M1)        f(E1)        T(M1)        T(E1)

    0.001  1.03911E-11  2.13200E-10  6.52894E-20  1.33958E-18
    0.002  2.07823E-11  4.26400E-10  1.04463E-18  2.14332E-17
    0.005  5.19556E-11  1.06600E-09  4.08059E-17  8.37235E-16
    0.010  1.03911E-10  2.13200E-09  6.52894E-16  1.33958E-14
    0.020  2.07823E-10  4.26400E-09  1.04463E-14  2.14332E-13
    0.050  5.19556E-10  1.06600E-08  4.08058E-13  8.37235E-12
    0.100  1.03911E-09  2.13200E-08  6.52894E-12  1.33958E-10
    0.200  2.13114E-09  2.15542E-08  1.07123E-10  1.08343E-09
    0.300  3.21362E-09  2.17884E-08  5.45177E-10  3.69631E-09
    0.400  4.33860E-09  2.20400E-08  1.74465E-09  8.86279E-09
    0.500  5.49393E-09  2.23088E-08  4.31492E-09  1.75213E-08
    0.600  6.71086E-09  2.26037E-08  9.10777E-09  3.06771E-08
    0.700  7.98851E-09  2.29160E-08  1.72163E-08  4.93870E-08
    0.800  9.35896E-09  2.32543E-08  3.01077E-08  7.48088E-08
    0.900  1.08335E-08  2.36272E-08  4.96222E-08  1.08223E-07
    1.000  1.24381E-08  2.40436E-08  7.81511E-08  1.51070E-07
    1.100  1.42162E-08  2.44946E-08  1.18889E-07  2.04846E-07
    1.200  1.62112E-08  2.49890E-08  1.76011E-07  2.71314E-07
    1.300  1.84924E-08  2.55441E-08  2.55272E-07  3.52615E-07
    1.400  2.11466E-08  2.61426E-08  3.64589E-07  4.50726E-07
    1.500  2.43125E-08  2.68105E-08  5.15564E-07  5.68537E-07
    1.600  2.81896E-08  2.75391E-08  7.25486E-07  7.08744E-07
    1.700  3.31163E-08  2.83371E-08  1.02228E-06  8.74745E-07
    1.800  3.95262E-08  2.92131E-08  1.44838E-06  1.07047E-06
    1.900  4.81045E-08  3.01672E-08  2.07313E-06  1.30010E-06
    2.000  5.94237E-08  3.12081E-08  2.98696E-06  1.56869E-06
    2.200  8.48811E-08  3.35760E-08  5.67883E-06  2.24635E-06
    2.400  8.31464E-08  3.63689E-08  7.22199E-06  3.15896E-06
    2.600  6.89128E-08  3.96302E-08  7.61027E-06  4.37650E-06
    2.800  6.45325E-08  4.34294E-08  8.90088E-06  5.99015E-06
    3.000  6.65709E-08  4.78270E-08  1.12935E-05  8.11366E-06
    3.200  7.10899E-08  5.29011E-08  1.46365E-05  1.08917E-05
    3.400  7.56523E-08  5.87124E-08  1.86827E-05  1.44993E-05
    3.600  7.85146E-08  6.53652E-08  2.30164E-05  1.91617E-05
    3.800  7.85233E-08  7.29374E-08  2.70726E-05  2.51467E-05
    4.000  7.54094E-08  8.15504E-08  3.03239E-05  3.27934E-05
    4.500  5.86951E-08  1.08422E-07  3.36062E-05  6.20774E-05
    5.000  4.08966E-08  1.44765E-07  3.21202E-05  1.13698E-04
    5.500  2.79901E-08  1.93598E-07  2.92599E-05  2.02380E-04
    6.000  1.95766E-08  2.58737E-07  2.65688E-05  3.51150E-04
    6.500  1.41295E-08  3.45474E-07  2.43807E-05  5.96123E-04
    7.000  1.05212E-08  4.60488E-07  2.26747E-05  9.92413E-04
    7.500  8.04488E-09  6.11931E-07  2.13247E-05  1.62206E-03
    8.000  6.29886E-09  8.09346E-07  2.02634E-05  2.60366E-03
    8.500  5.03163E-09  1.06166E-06  1.94154E-05  4.09660E-03
    9.000  4.08879E-09  1.37305E-06  1.87285E-05  6.28918E-03
    9.500  3.37148E-09  1.73648E-06  1.81623E-05  9.35450E-03
   10.000  2.81549E-09  2.11986E-06  1.76903E-05  1.33195E-02
